"anio","mes","nacimientos"
"2014","Enero","24196"
"2014","Febrero","20379"
"2014","Marzo","20359"
"2014","Abril","22310"
"2014","Mayo","22239"
"2014","Junio","20835"
"2014","Julio","22431"
"2014","Agosto","19121"
"2014","Septiembre","22040"
"2014","Octubre","20228"
"2014","Noviembre","18203"
"2014","Diciembre","19593"
"2015","Enero","22904"
"2015","Febrero","19757"
"2015","Marzo","22097"
"2015","Abril","23384"
"2015","Mayo","20400"
"2015","Junio","21436"
"2015","Julio","21566"
"2015","Agosto","20020"
"2015","Septiembre","21469"
"2015","Octubre","20610"
"2015","Noviembre","19055"
"2015","Diciembre","18749"
"2016","Enero","21203"
"2016","Febrero","18459"
"2016","Marzo","21270"
"2016","Abril","19330"
"2016","Mayo","20323"
"2016","Junio","18485"
"2016","Julio","20726"
"2016","Agosto","20348"
